IN,A,,Satellite data (AMSUA),,003/003
IN,B,,Satellite data (AMSUB),,003/004
IN,C,,CrIS (selected channels),,003/030
IN,H,,Satellite data (HIRS),,003/005
IN,I,,IRAS,,003/020
IN,J,,HIRAS,,003/030
IN,K,,MWHS/MWHS­2,,003/040
IN,M,,Satellite data (MHS),,003/006
IN,Q,,IASI (Principle component scores),,003/007
IN,S,,ATMS,,003/040
IN,T,,MWTS/MWTS­2,,003/040
IO,B,,Buoy observations,BUOY,001/025
IO,I,,Sea ice,,
IO,P,,Sub­surface profiling floats,TESAC,031/004
IO,R,,Sea surface observations,TRACKOB,031/001
IO,S,,Sea surface and below soundings,"BATHY, TESAC",031/005
IO,T,,Sea surface temperature,,
IO,W,,Sea surface waves,WAVEOB,031/002
IO,X,,Other sea environmental,,
IO,Z,,Deep ocean tsunameter,,031/007
IP,C,,Radar composite imagery data,,
IP,I,,Satellite imagery data,,
IP,R,,Radar imagery data,,
IP,X,,Not defined,,
IS,A,01–29,Routinely scheduled observations for distribution,n/a,000/006
,,,from automatic (fixed or mobile) land stations,,
,,,"(e.g. 0000, 0100, ... or 0220, 0240, 0300, ..., or",,
,,,"0715, 0745, ... UTC)",,
IS,A,30–59,N­minute observations from automatic (fixed or,n/a,000/007
,,,mobile) land stations,,
IS,B,,Radar reports (parts A and B),RADOB,006/003
IS,C,01–45,Climatic observations from land stations,CLIMAT,000/020
IS,C,46–59,Climatic observations from marine stations,CLIMAT SHIP,001/020
IS,C,60,Climatic observations (monthly reports of daily,n/a,001/021
,,,climate data),,
IS,D,,Radiological observation,RADREP,010/001
IS,E,,Measurement of surface ozone,n/a,008/000
IS,F,,Source of atmospherics,"SFAZI, SFLOC,",000/030
,,,,SFAZU,
IS,I,01–45,Intermediate synoptic observations from fixed,SYNOP (SIxx),000/001
,,,land stations,,000/051
IS,I,46–59,Intermediate synoptic observations from mobile,SYNOP MOBIL,000/004
,,,land stations,,
IS,M,01–45,Main synoptic observations from fixed land,SYNOP (SMxx),000/002
,,,stations,,000/052
IS,M,46–59,Main synoptic observations from mobile land,SYNOP MOBIL,000/005
,,,stations,,
IS,N,01–45,Synoptic observations from fixed land stations at,SYNOP (SNxx),000/000
,,,"non­standard time (i.e. 0100, 0200, 0400, 0500,",,000/050
,,,... UTC),,
IS,N,46–59,Synoptic observations from mobile land stations,SYNOP MOBIL,000/003
,,,"at non­standard time (i.e. 0100, 0200, 0400, 0500,",,
,,,... UTC),,
IS,R,,Hydrologic reports,HYDRA,000/040
IS,S,01–19,Synoptic observations from marine stations,SHIP,001/000
IS,S,20–39,One­hour observations from automatic marine,n/a,001/006
,,,stations,,
IS,S,40–59,N­minute observations from automatic marine,n/a,001/007
,,,stations,,
IS,T,01–19,Tide gauge observations,n/a,001/030
